"hgnc"	"model_organism"	"line"	"sex"	"change_percentage"	"p_value"	"sample"	"age_of_control_min"	"age_of_control_mean"	"age_of_control_max"	"age_of_experiment_min"	"age_of_experiment_mean"	"age_of_experiment_max"	"age_unit"	"change_type"	"control_cohort_size"	"experiment_cohort_size"	"statistical_method"	"expression_evaluation_by"	"measurement_method"	"comment"	"doi"	"pmid"
"GLYR1"	"human"	"n/a"	"all"	"-37.5%"	"0,02573378976"	"CD8+ T cells"	"23"	"n/a"	"27"	"65"	"n/a"	"81"	"years"	"decreased gene expression"	"5"	"4"	"Student t-test"	"mRNA"	"microarray"	"n/a"	"10.1111/j.1474-9726.2009.00534.x"	"n/a"
"H1-10"	"human"	"n/a"	"all"	"30.0%"	"0,0273128"	"muscle"	"18"	"n/a"	"28"	"65"	"n/a"	"84"	"years"	"increased gene expression"	"26"	"25"	"Student t-test"	"mRNA"	"microarray"	"n/a"	"10.1371/journal.pone.0000465"	"n/a"
"H3-3B"	"human"	"n/a"	"all"	"50.0%"	"0,0003434"	"muscle"	"18"	"n/a"	"28"	"65"	"n/a"	"84"	"years"	"increased gene expression"	"26"	"25"	"Student t-test"	"mRNA"	"microarray"	"n/a"	"10.1371/journal.pone.0000465"	"n/a"
"HERC2P2"	"human"	"n/a"	"male"	"44.0%"	"0,003"	"muscle"	"21"	"n/a"	"27"	"67"	"n/a"	"75"	"years"	"increased gene expression"	"8"	"8"	"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test"	"mRNA"	"microarray"	"n/a"	"10.1152/physiolgenomics.00049.2003"	"n/a"
"HLA-C"	"human"	"n/a"	"male"	"-14.3815%"	"0,0047"	"muscle"	"21"	"n/a"	"27"	"67"	"n/a"	"75"	"years"	"decreased gene expression"	"8"	"8"	"Wilcoxon test, Student t-test, Wilcoxon Rank Sum Test"	"mRNA"	"microarray"	"n/a"	"10.1152/physiolgenomics.00049.2003"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"23.9143%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"15.1369%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"19.7278%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"10.2797%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"38.8784%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"37.8056%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"39.8139%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"32.5993%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"34.8527%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"23.2955%"	">0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"36.9752%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"37.7157%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"56.5061%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"32.787%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"43.9961%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-C"	"human"	"n/a"	"all"	"40.137%"	"<0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DMB"	"human"	"n/a"	"all"	"26.0915%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DMB"	"human"	"n/a"	"all"	"90.5109%"	"<0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DMB"	"human"	"n/a"	"all"	"56.9514%"	"<0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DMB"	"human"	"n/a"	"all"	"29.9805%"	">0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DOA"	"human"	"n/a"	"all"	"-8.08348%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"decreased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DOA"	"human"	"n/a"	"all"	"24.8028%"	">0,01"	"hippocampus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DOA"	"human"	"n/a"	"all"	"16.6719%"	">0,01"	"posterior cingulate cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DOA"	"human"	"n/a"	"all"	"6.67758%"	">0,01"	"superior frontal gyrus"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
"HLA-DPA1"	"human"	"n/a"	"all"	"64.6004%"	">0,01"	"entorhinal cortex"	"20"	"n/a"	"59"	"60"	"n/a"	"99"	"years"	"increased gene expression"	"20"	"16"	"linear regression"	"mRNA"	"microarray"	"n/a"	"10.1186/1742-2094-9-179"	"n/a"
