"hgnc"	"comment"	"doi"	"pmid"	"intervention"	"model_organism"	"line"	"intervention_deteriorates"	"intervention_improves"	"intervention_result"	"process"	"age"	"genotype"	"sex"
"CYBB"	"Compared with siRNA negative control, Nox2 siRNA transfection showed the protective effects on the viability of BMSCs with H2O2 treatment. BMSCs with Nox2 siRNA treatment showed the less EdU-positive staining than control. Knockdown of Nox2 also decreased the number of H2O2-induced BMSCs apoptosis. β-galactosidase staining uncovered that knockdown of Nox2 in BMSCs attenuated cell senescence induced by H2O2. Transfection with Nox2 siRNA inhibited the accumulation of ROS in H2O2-treated BMSCs. BMSCs with Nox2 siRNA or its siRNA negative control transfection was transplanted into the hearts of SD rats 3 days after myocardial infarction. One month after BMSCs implantation, pathological investigation showed that BMSCs with Nox2 siRNA transfection obviously improved cardiac structure and function, inhibited the reduction of ejection fraction and fraction shortening compared with BMSCs with siRNA negative control. One week after BMSCs transplantation, more BMSCs with Nox2 siRNA were found to retent and survive in infarcted hearts than BMSCs with Nox2 siRNA negative control."	"10.1002/jcp.26623"	"n/a"	"RNA interferention"	"cell culture"	"rat bone marrow stem cells"	""	"tissue regeneration"	"n/a"	"tissue regeneration"	"n/a"	"n/a"	"n/a"
"CYBB"	"Compared with siRNA negative control, Nox2 siRNA transfection showed the protective effects on the viability of BMSCs with H2O2 treatment. BMSCs with Nox2 siRNA treatment showed the less EdU-positive staining than control. Knockdown of Nox2 also decreased the number of H2O2-induced BMSCs apoptosis. β-galactosidase staining uncovered that knockdown of Nox2 in BMSCs attenuated cell senescence induced by H2O2. Transfection with Nox2 siRNA inhibited the accumulation of ROS in H2O2-treated BMSCs. BMSCs with Nox2 siRNA or its siRNA negative control transfection was transplanted into the hearts of SD rats 3 days after myocardial infarction. One month after BMSCs implantation, pathological investigation showed that BMSCs with Nox2 siRNA transfection obviously improved cardiac structure and function, inhibited the reduction of ejection fraction and fraction shortening compared with BMSCs with siRNA negative control. One week after BMSCs transplantation, more BMSCs with Nox2 siRNA were found to retent and survive in infarcted hearts than BMSCs with Nox2 siRNA negative control."	"10.1002/jcp.26623"	"n/a"	"RNA interferention"	"cell culture"	"rat bone marrow stem cells"	""	"apoptosis"	"n/a"	"apoptosis"	"n/a"	"n/a"	"n/a"
"CYBB"	"Compared with siRNA negative control, Nox2 siRNA transfection showed the protective effects on the viability of BMSCs with H2O2 treatment. BMSCs with Nox2 siRNA treatment showed the less EdU-positive staining than control. Knockdown of Nox2 also decreased the number of H2O2-induced BMSCs apoptosis. β-galactosidase staining uncovered that knockdown of Nox2 in BMSCs attenuated cell senescence induced by H2O2. Transfection with Nox2 siRNA inhibited the accumulation of ROS in H2O2-treated BMSCs. BMSCs with Nox2 siRNA or its siRNA negative control transfection was transplanted into the hearts of SD rats 3 days after myocardial infarction. One month after BMSCs implantation, pathological investigation showed that BMSCs with Nox2 siRNA transfection obviously improved cardiac structure and function, inhibited the reduction of ejection fraction and fraction shortening compared with BMSCs with siRNA negative control. One week after BMSCs transplantation, more BMSCs with Nox2 siRNA were found to retent and survive in infarcted hearts than BMSCs with Nox2 siRNA negative control."	"10.1002/jcp.26623"	"n/a"	"RNA interferention"	"cell culture"	"rat bone marrow stem cells"	""	"senescence"	"n/a"	"senescence"	"n/a"	"n/a"	"n/a"
"CYBB"	"Compared with siRNA negative control, Nox2 siRNA transfection showed the protective effects on the viability of BMSCs with H2O2 treatment. BMSCs with Nox2 siRNA treatment showed the less EdU-positive staining than control. Knockdown of Nox2 also decreased the number of H2O2-induced BMSCs apoptosis. β-galactosidase staining uncovered that knockdown of Nox2 in BMSCs attenuated cell senescence induced by H2O2. Transfection with Nox2 siRNA inhibited the accumulation of ROS in H2O2-treated BMSCs. BMSCs with Nox2 siRNA or its siRNA negative control transfection was transplanted into the hearts of SD rats 3 days after myocardial infarction. One month after BMSCs implantation, pathological investigation showed that BMSCs with Nox2 siRNA transfection obviously improved cardiac structure and function, inhibited the reduction of ejection fraction and fraction shortening compared with BMSCs with siRNA negative control. One week after BMSCs transplantation, more BMSCs with Nox2 siRNA were found to retent and survive in infarcted hearts than BMSCs with Nox2 siRNA negative control."	"10.1002/jcp.26623"	"n/a"	"RNA interferention"	"cell culture"	"rat bone marrow stem cells"	""	"oxidation/antioxidant function"	"n/a"	"oxidation/antioxidant function"	"n/a"	"n/a"	"n/a"
"CYBB"	"BMSCs were pretreated with Nox2 inhibitor Acetovanillon (ATVL) 100µM before exposure to H2O2 100µM. ATVL markedly inhibited the decrease of cell viability of BMSCs subjected to H2O2 100µM. EdU staining also showed that there were more EdU-positive cells in BMSCs pretreatment with ATVL than without ATVL pretreatment. ATVL pretreatment decreased the number of TUNEL-positive BMSCs following exposure to H2O2 100µM. β-galactosidase staining showed that pretreatment with Acetovanillon attenuated the increase of BMSCs senescence after H2O2 treatment. Pretreatment with Acetovanillon was able to counter the increase of ROS level in BMSCs subjected to H2O2."	"10.1002/jcp.26623"	"n/a"	"treatment with a gene product inhibitor"	"cell culture"	"rat bone marrow stem cells"	""	"apoptosis"	"n/a"	"apoptosis"	"n/a"	"n/a"	"n/a"
"CYBB"	"BMSCs were pretreated with Nox2 inhibitor Acetovanillon (ATVL) 100µM before exposure to H2O2 100µM. ATVL markedly inhibited the decrease of cell viability of BMSCs subjected to H2O2 100µM. EdU staining also showed that there were more EdU-positive cells in BMSCs pretreatment with ATVL than without ATVL pretreatment. ATVL pretreatment decreased the number of TUNEL-positive BMSCs following exposure to H2O2 100µM. β-galactosidase staining showed that pretreatment with Acetovanillon attenuated the increase of BMSCs senescence after H2O2 treatment. Pretreatment with Acetovanillon was able to counter the increase of ROS level in BMSCs subjected to H2O2."	"10.1002/jcp.26623"	"n/a"	"treatment with a gene product inhibitor"	"cell culture"	"rat bone marrow stem cells"	""	"senescence"	"n/a"	"senescence"	"n/a"	"n/a"	"n/a"
"CYBB"	"BMSCs were pretreated with Nox2 inhibitor Acetovanillon (ATVL) 100µM before exposure to H2O2 100µM. ATVL markedly inhibited the decrease of cell viability of BMSCs subjected to H2O2 100µM. EdU staining also showed that there were more EdU-positive cells in BMSCs pretreatment with ATVL than without ATVL pretreatment. ATVL pretreatment decreased the number of TUNEL-positive BMSCs following exposure to H2O2 100µM. β-galactosidase staining showed that pretreatment with Acetovanillon attenuated the increase of BMSCs senescence after H2O2 treatment. Pretreatment with Acetovanillon was able to counter the increase of ROS level in BMSCs subjected to H2O2."	"10.1002/jcp.26623"	"n/a"	"treatment with a gene product inhibitor"	"cell culture"	"rat bone marrow stem cells"	""	"oxidation/antioxidant function"	"n/a"	"oxidation/antioxidant function"	"n/a"	"n/a"	"n/a"
"CYBB"	"Compared to their respective young controls, both WT and Nox2KO aging brains showed Aβ deposition and plaque formation. However, aging Nox2KO brains (21 months)  had significantly less Aβ deposition in comparison to aging WT brains. WT aging brains had remarkably high levels of Nox2 expression and a significant proportion of Nox2 was overlapped with the Aβ plaques indicating the infiltration of Nox2-positive cells. In comparison with WT young controls, there were significant increases in microglial density and Nox2 expression in WT aging brains. Although the microglial density was also increased in aging Nox2 brains, the levels were much less than what were found in WT aging brains. There were icreased expressions of Iba-1 and Nox2 and increased phosphorylation of p47phox and ERK1/2 in the aging WT (not in aging Nox2KO) midbrain. Compared to WT young controls, WT aging brains had significantly higher levels of O2− production. In contrast, there were very low levels of O2− production by the midbrain tissues of Nox2KO mice at both young and old age (21 months). Although the levels of ROS production in Nox2KO aging brains were also increased in comparison to Nox2KO young brains, the levels of increase were much lower than the levels detected in WT aging brains. There were marked increases in the levels of protein nitration detected in the midbrains of aging WT mice but not in aging Nox2KO midbrains. There were increases in ERK1/2 activation and in the levels of IL-1β production detected in the WT aging brains. However, these aging-associated changes were significantly reduced in the absence of Nox2."	"10.1038/s41598-020-58422-8"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"nervous system"	"n/a"	"nervous system"	"0 days"	"-/-"	"male"
"CYBB"	"Compared to their respective young controls, both WT and Nox2KO aging brains showed Aβ deposition and plaque formation. However, aging Nox2KO brains (21 months)  had significantly less Aβ deposition in comparison to aging WT brains. WT aging brains had remarkably high levels of Nox2 expression and a significant proportion of Nox2 was overlapped with the Aβ plaques indicating the infiltration of Nox2-positive cells. In comparison with WT young controls, there were significant increases in microglial density and Nox2 expression in WT aging brains. Although the microglial density was also increased in aging Nox2 brains, the levels were much less than what were found in WT aging brains. There were icreased expressions of Iba-1 and Nox2 and increased phosphorylation of p47phox and ERK1/2 in the aging WT (not in aging Nox2KO) midbrain. Compared to WT young controls, WT aging brains had significantly higher levels of O2− production. In contrast, there were very low levels of O2− production by the midbrain tissues of Nox2KO mice at both young and old age (21 months). Although the levels of ROS production in Nox2KO aging brains were also increased in comparison to Nox2KO young brains, the levels of increase were much lower than the levels detected in WT aging brains. There were marked increases in the levels of protein nitration detected in the midbrains of aging WT mice but not in aging Nox2KO midbrains. There were increases in ERK1/2 activation and in the levels of IL-1β production detected in the WT aging brains. However, these aging-associated changes were significantly reduced in the absence of Nox2."	"10.1038/s41598-020-58422-8"	"n/a"	"gene knockout"	"mouse"	"C57BL/6J"	""	"oxidation/antioxidant function"	"n/a"	"oxidation/antioxidant function"	"0 days"	"-/-"	"male"
"CYBB"	"There was a significant increase compared with young controls (25–38 years old) in brain O2– production starting at middle age (45–56 years old) and a further increase (~2-fold) at old age (61–85 years old), which could be reduced to young control levels by addition of Nox2tat."	"10.1172/JCI125173"	"n/a"	"treatment with a gene product inhibitor"	"human"	"n/a"	""	"oxidation/antioxidant function"	"n/a"	"oxidation/antioxidant function"	"n/a"	"n/a"	"all"
