"hgnc	hallmarks_of_aging"
"GHR"	"'INS/IGF-1 pathway dysregulation'"
"GHRH"	"'INS/IGF-1 pathway dysregulation','intercellular communication impairment'"
"SHC1"	"'INS/IGF-1 pathway dysregulation'"
"POU1F1"	"'transcriptional alterations'"
"PROP1"	"'transcriptional alterations'"
"TP53"	"'mitochondrial DNA instability','nuclear DNA instability','chromatin remodeling','transcriptional alterations','impairment of the mitochondrial integrity and biogenesis','accumulation of reactive oxygen species','senescent cells accumulation','stem cell exhaustion','intercellular communication impairment','disabled macroautophagy'"
"TERC"	""
"TERT"	"'nuclear DNA instability','telomere attrition','impairment of the mitochondrial integrity and biogenesis','senescent cells accumulation'"
"ATM"	"'nuclear DNA instability','telomere attrition','alterations in histone modifications','transcriptional alterations','TOR pathway dysregulation','senescent cells accumulation'"
"PLAU"	"'degradation of proteolytic systems'"
"ERCC2"	"'nuclear DNA instability','transcriptional alterations','stem cell exhaustion'"
"ERCC8"	"'nuclear DNA instability','degradation of proteolytic systems'"
"WRN"	"'nuclear DNA instability','telomere attrition','senescent cells accumulation','intercellular communication impairment'"
"LMNA"	"'nuclear DNA instability','nuclear architecture impairment','chromatin remodeling','senescent cells accumulation'"
"IGF1R"	"'INS/IGF-1 pathway dysregulation','senescent cells accumulation','intercellular communication impairment'"
"TXN"	"'transcriptional alterations','accumulation of reactive oxygen species'"
"KL"	"'INS/IGF-1 pathway dysregulation','sterile inflammation'"
"E2F1"	"'transcriptional alterations'"
"PTPN11"	""
"NFKB2"	"'transcriptional alterations'"
"STAT5B"	"'transcriptional alterations'"
"STAT3"	"'transcriptional alterations','stem cell exhaustion','sterile inflammation'"
"STAT5A"	"'transcriptional alterations'"
"NRG1"	"'transcriptional alterations','stem cell exhaustion','intercellular communication impairment'"
"HDAC3"	"'alterations in histone modifications','transcriptional alterations','TOR pathway dysregulation'"
"GH1"	"'INS/IGF-1 pathway dysregulation'"
"IL7R"	""
"IGF1"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation'"
"IGF2"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation'"
"INS"	"'INS/IGF-1 pathway dysregulation','sterile inflammation','intercellular communication impairment'"
"NGF"	""
"IRS1"	"'INS/IGF-1 pathway dysregulation'"
"PTPN1"	"'INS/IGF-1 pathway dysregulation'"
"IRS2"	"'INS/IGF-1 pathway dysregulation'"
"AKT1"	"'transcriptional alterations','degradation of proteolytic systems','TOR pathway dysregulation','INS/IGF-1 pathway dysregulation','impairment of the mitochondrial integrity and biogenesis','sterile inflammation'"
"PIK3CB"	"'disabled macroautophagy'"
"NGFR"	""
"HRAS"	"'transcriptional alterations','INS/IGF-1 pathway dysregulation','senescent cells accumulation'"
"MYC"	"'nuclear DNA instability','chromatin remodeling','transcriptional alterations','alterations in DNA methylation'"
"EGFR"	"'transcriptional alterations'"
"ERBB2"	""
"INSR"	"'INS/IGF-1 pathway dysregulation'"
"NBN"	"'nuclear DNA instability','telomere attrition'"
"JUND"	"'transcriptional alterations'"
"IL2"	"'transcriptional alterations','intercellular communication impairment'"
"PDGFB"	"'accumulation of reactive oxygen species','intercellular communication impairment'"
"FOS"	"'transcriptional alterations','alterations in DNA methylation','sterile inflammation','intercellular communication impairment'"
"PDGFRB"	""
"EPOR"	""
"SST"	"'intercellular communication impairment'"
"PRKCD"	"'senescent cells accumulation'"
"PPARA"	"'transcriptional alterations','intercellular communication impairment'"
"RET"	"'degradation of proteolytic systems'"
"PLCG2"	""
"PEX5"	"'impairment of proteins folding and stability','impairment of the mitochondrial integrity and biogenesis'"
"TCF3"	"'transcriptional alterations'"
"PARP1"	"'mitochondrial DNA instability','nuclear DNA instability','telomere attrition','transcriptional alterations','alterations in DNA methylation','degradation of proteolytic systems','impairment of the mitochondrial integrity and biogenesis'"
"BRCA1"	"'nuclear DNA instability','alterations in histone modifications','transcriptional alterations','alterations in DNA methylation','degradation of proteolytic systems'"
